value,bdrms,non_bdrms,condition,coopcond,elevator,agperswt,subboroughcode,race,income_tile,year
140000,3,2,2,3,1,40051480,5,1,3,2011
400000,2,0,2,3,1,20025740,5,1,1,2011
500000,3,1,2,1,2,54412384,10,1,3,2011
2000000,3,2,2,3,1,37445024,6,1,3,2011
500000,2,1,2,3,1,24521742,6,1,1,2011
700000,2,0,2,3,2,37050020,5,1,1,2011
5162488,2,1,2,2,1,34605060,6,1,3,2011
5162488,4,4,2,3,1,15189042,6,1,3,2011
500000,1,0,2,3,1,18825748,1,1,3,2011
9999999,2,1,3,1,2,18315528,9,1,1,2011
550000,2,1,2,3,1,15189042,6,3,1,2011
1200000,3,1,2,3,1,49055020,1,1,1,2011
700000,2,2,2,3,1,73280944,5,1,1,2011
2500000,4,4,2,3,1,112346568,7,2,3,2011
500000,6,1,2,1,2,38074444,10,3,3,2011
25000,2,0,2,3,1,36799072,9,2,1,2011
550000,2,1,2,3,1,34871672,4,1,1,2011
685000,3,0,2,2,1,50576096,1,1,1,2011
745000,2,2,2,2,1,37445024,1,4,3,2011
3000,2,0,2,3,1,15686945,3,2,1,2011
70000,4,1,2,3,1,97205992,3,1,1,2011
1000000,3,2,2,2,1,45127188,6,1,3,2011
250000,4,1,2,3,1,109885920,10,3,3,2011
45000,2,1,2,3,1,25204430,7,2,3,2011
800000,2,2,2,3,1,21861640,4,1,1,2011
9000,3,1,2,3,1,39074632,10,2,3,2011
5162488,4,2,2,3,1,21861640,4,1,3,2011
2000000,4,2,2,3,1,84717792,6,1,3,2011
1000000,3,0,2,3,1,25288048,3,4,1,2011
300000,2,0,2,3,1,15189042,6,1,1,2011
1100000,3,1,2,2,2,112346568,7,2,3,2011
1595000,3,2,2,3,1,55038468,5,1,1,2011
9999999,2,0,2,3,1,37050020,5,4,1,2011
800000,2,1,2,3,1,20209968,1,1,3,2011
1000000,4,1,2,3,1,34760844,5,1,1,2011
300000,2,1,2,3,1,15189042,6,1,3,2011
327500,2,0,2,3,2,19079532,4,1,1,2011
1000000,3,2,2,3,1,37050020,5,1,3,2011
970000,2,1,2,2,1,54813856,4,1,1,2011
650000,2,0,2,3,1,49055020,1,1,3,2011
1200000,3,1,2,3,1,15189042,6,1,3,2011
350000,1,1,2,3,1,15189042,6,1,1,2011
5162488,5,3,2,3,1,164314400,1,4,3,2011
600000,3,1,2,3,1,47816344,7,2,3,2011
900000,2,2,2,2,1,15189042,6,1,1,2011
400000,2,0,2,3,2,35536148,5,1,3,2011
1000000,3,1,2,3,1,20025740,5,2,3,2011
400000,1,1,2,2,1,25204430,7,4,1,2011
30000,2,0,2,3,1,26173832,10,3,3,2011
2000000,4,3,2,3,1,159335168,6,4,3,2011
280000,1,0,2,3,1,21861640,4,3,1,2011
1000000,5,1,2,3,1,14632568,5,1,3,2011
700000,2,1,2,3,2,37050020,5,1,1,2011
460000,2,1,2,3,1,15189042,6,1,3,2011
650000,2,1,2,3,1,21861640,4,1,3,2011
168000,2,1,2,2,1,53033536,2,4,3,2011
1700000,3,2,2,3,2,15189042,6,1,3,2011
750000,2,1,2,3,1,21201052,6,1,3,2011
1000000,2,1,2,2,1,22620252,3,4,3,2011
1500000,4,1,2,3,1,102304248,6,1,3,2011
1000000,3,1,2,3,1,20025740,5,1,3,2011
800000,2,1,2,3,1,21861640,4,1,3,2011
610000,3,1,2,3,1,73463464,7,1,1,2011
600000,2,1,2,3,1,26173832,10,1,3,2011
550000,3,1,2,3,1,26173832,2,1,3,2011
452000,2,1,2,3,2,37050020,5,1,1,2011
9999999,1,0,2,2,1,17340440,4,4,1,2011
1000000,3,2,2,3,1,15189042,6,1,3,2011
2000000,5,3,2,3,1,148755536,5,1,3,2011
5162488,4,3,2,3,1,37050020,5,1,3,2011
500000,1,0,2,3,1,21861640,4,1,3,2011
1400000,3,2,2,3,1,34871672,4,1,1,2011
450000,2,0,2,3,1,21861640,4,1,1,2011
1200000,4,1,2,1,2,51702112,8,2,3,2011
25000,2,1,2,3,1,17599688,8,2,1,2011
300000,1,1,2,3,1,15189042,6,1,1,2011
1250000,4,2,2,3,1,85141832,6,1,3,2011
400000,2,1,2,3,1,55344916,2,1,3,2011
800000,2,1,2,3,1,41076740,3,1,3,2011
5162488,5,3,2,1,1,65771152,5,1,3,2011
950000,3,0,2,2,1,56685976,4,1,1,2011
400000,3,1,2,3,1,44854112,5,2,1,2011
2500000,5,3,2,1,2,75445224,6,1,3,2011
600000,3,1,2,3,1,36799072,7,2,1,2011
15000,3,1,2,3,1,36924292,8,2,3,2011
525000,4,2,2,3,1,50868952,9,1,3,2011
650000,2,1,2,3,1,15189042,6,1,3,2011
2000000,3,0,2,2,1,34871672,4,4,1,2011
600000,2,1,2,3,1,17302530,6,1,3,2011
5162488,4,3,2,3,1,41585008,5,1,3,2011
1000000,2,1,2,3,1,15189042,6,1,3,2011
550000,2,2,2,3,1,25204430,7,1,1,2011
5162488,4,2,2,3,1,20209968,1,1,1,2011
275000,3,1,2,3,2,45400072,7,3,1,2011
1400000,3,2,2,3,2,37050020,5,1,3,2011
500000,3,1,2,2,1,99687296,3,1,3,2011
60000,3,1,2,3,2,118654696,7,2,3,2011
1200000,2,1,2,2,1,41076740,3,1,3,2011
400000,3,1,2,3,1,18156604,8,2,1,2011
600000,2,2,2,3,1,21861640,4,1,1,2011
450000,1,1,2,3,1,37651496,1,3,3,2011
700000,3,1,2,3,1,25204430,7,2,3,2011
1350000,3,1,2,2,1,34605060,6,1,3,2011
800000,3,1,2,2,1,55384448,6,1,1,2011
1000000,2,1,2,2,1,16552704,6,1,3,2011
1600000,3,1,2,2,1,22620252,3,1,3,2011
1500000,5,3,2,3,2,5079570,7,2,3,2011
1500000,3,1,2,3,1,500619,7,2,3,2011
1000000,1,0,3,1,2,17599688,8,2,1,2011
700000,3,1,2,2,1,21861640,4,1,1,2011
9999999,3,1,2,1,2,54504768,10,3,1,2011
1500000,4,2,2,3,1,159335168,6,4,3,2011
395000,3,1,2,3,1,32163754,2,2,3,2011
9999999,3,1,2,1,2,17557088,10,3,1,2011
3000,3,1,2,3,1,29508780,6,1,3,2011
1200000,2,1,2,3,1,15189042,6,1,3,2011
400000,2,1,2,3,1,49043484,6,1,1,2011
400000,2,1,2,2,1,44021264,2,4,3,2011
400000,3,1,2,3,1,61077912,10,3,3,2011
700000,2,1,2,2,1,34605060,6,1,1,2011
25000,3,1,2,3,1,18156604,8,3,3,2011
1000000,2,2,2,3,1,18722512,6,1,3,2011
1300000,5,2,2,1,2,134596432,8,2,3,2011
600000,2,1,2,2,2,26173832,2,1,1,2011
5162488,4,1,2,3,1,113189992,5,3,1,2011
2000000,5,2,2,2,1,41585008,5,1,3,2011
450000,3,1,2,3,1,37050020,5,1,1,2011
2000000,2,0,2,3,1,99687296,1,1,1,2011
9999999,1,0,2,1,1,33921104,4,1,3,2011
200000,2,0,2,3,1,17599688,8,2,1,2011
1400000,4,1,2,3,1,100740624,2,2,3,2011
1900000,5,2,2,3,1,15189042,6,1,1,2011
1500000,3,1,8,3,1,28056678,1,1,1,2011
240000,3,1,2,2,1,32187880,10,1,3,2011
2000000,4,2,2,3,1,34605060,6,1,1,2011
725000,2,1,2,3,1,34605060,6,1,3,2011
550000,1,0,2,3,1,37050020,5,4,1,2011
440000,3,2,2,3,1,37434588,5,1,3,2011
1000000,1,1,2,3,1,21201052,6,1,3,2011
235000,1,0,2,2,1,54140344,6,3,3,2011
1600000,3,2,2,3,1,75131696,1,1,1,2011
1600000,4,3,2,2,1,104436008,6,1,3,2011
625000,3,2,2,2,1,20025740,5,1,3,2011
600000,2,1,2,2,1,15189042,6,1,3,2011
1500000,1,0,2,3,1,22620252,3,1,3,2011
450000,2,1,2,3,1,20209968,1,1,1,2011
175000,2,1,2,3,1,22620252,3,1,1,2011
250000,3,1,2,3,1,34871672,4,1,3,2011
900000,3,1,2,2,1,74082344,4,1,1,2011
1000000,4,0,2,3,1,98257600,3,1,3,2011
450000,2,1,2,3,1,21861640,4,4,1,2011
525000,3,2,2,3,1,51369744,9,1,3,2011
200000,3,1,2,2,1,78109968,8,1,3,2011
200000,3,1,2,3,2,36730032,7,3,1,2011
380000,1,1,2,3,1,16566963,3,3,3,2011
1750000,2,1,2,3,1,49055020,1,1,3,2011
1600000,4,2,2,2,1,37050020,5,1,1,2011
5162488,3,3,2,3,1,50935460,1,1,3,2011
525000,2,1,2,2,1,21861640,4,3,1,2011
200000,2,1,2,3,1,34871672,4,1,1,2011
450000,2,1,2,3,1,26173832,2,1,1,2011
900000,2,1,2,3,1,15189042,6,1,3,2011
600000,2,1,2,3,1,15189042,6,1,1,2011
2000000,2,1,2,3,1,21861640,4,1,3,2011
600000,4,1,2,2,1,37050020,5,1,1,2011
900000,2,1,2,3,1,18156604,9,1,1,2011
1000000,3,2,2,3,1,68839672,4,1,1,2011
1800000,2,1,2,3,1,20209968,1,1,3,2011
1400000,5,3,2,3,1,68017504,5,1,3,2011
750000,3,1,2,3,1,20025740,5,1,1,2011
1000000,3,0,2,3,1,37112108,1,1,1,2011
350000,2,1,2,2,1,37445024,5,1,3,2011
600000,4,1,2,3,1,55551148,8,2,3,2011
1375000,3,1,2,3,1,20025740,5,1,1,2011
1800000,3,1,2,2,1,41076740,3,1,3,2011
500000,3,2,2,2,1,18156604,8,2,3,2011
9999999,4,2,2,2,1,18722512,6,1,1,2011
750000,3,1,2,3,1,63525336,1,1,1,2011
1250000,3,0,2,3,1,49055020,1,1,3,2011
1200000,4,1,2,3,1,34605060,6,1,1,2011
500000,2,1,2,3,1,18722512,4,1,1,2011
500000,2,0,2,3,1,41076740,3,1,1,2011
1000000,4,4,2,2,1,19079532,4,1,3,2011
2000000,4,2,2,3,1,93567168,6,1,1,2011
950000,3,2,2,2,1,20025740,5,1,3,2011
1600000,4,2,2,2,1,37050020,5,4,3,2011
1500000,3,2,2,3,1,72739240,1,1,3,2011
1250000,3,1,2,2,1,37050020,5,1,1,2011
800000,4,1,2,2,1,18399536,8,2,3,2011
700000,4,3,2,3,1,36799072,7,1,1,2011
5162488,5,3,2,2,1,95511384,5,1,3,2011
1500000,5,3,2,1,2,70999376,7,2,1,2011
2100000,4,2,2,3,1,97271296,5,1,1,2011
9956,3,1,2,3,1,17770196,9,3,1,2011
1000000,4,2,2,3,1,94813536,1,1,3,2011
750000,2,2,2,3,1,34605060,6,1,3,2011
1700000,3,1,2,2,1,34871672,4,1,1,2011
700000,3,3,2,2,1,37050020,5,1,3,2011
250000,3,1,2,3,1,62047536,10,3,1,2011
30000,2,0,2,3,1,44021264,2,1,1,2011
400000,3,2,2,3,1,53285852,5,1,3,2011
1000000,2,1,2,2,1,34605060,6,1,1,2011
5162488,6,2,2,2,1,104436008,6,1,3,2011
875000,2,1,2,3,1,20025740,5,1,1,2011
1600000,2,1,2,2,1,41585008,5,1,3,2011
500000,2,1,2,2,1,20025740,5,1,3,2011
650000,2,1,2,2,1,21861640,4,1,3,2011
900000,3,1,2,3,1,15189042,6,1,1,2011
2000000,3,0,2,3,1,49055020,1,1,3,2011
400000,1,1,2,3,1,34871672,4,1,1,2011
13000,1,1,2,3,1,22620252,3,1,3,2011
600000,2,1,2,3,1,18525008,5,1,3,2011
500000,3,1,2,3,1,15189042,6,1,1,2011
490000,2,0,2,2,1,41076740,3,1,1,2011
15000,3,2,2,3,1,74792008,8,2,1,2011
9956,2,1,2,3,1,40530016,9,1,1,2011
390000,2,1,2,3,1,15189042,6,1,1,2011
2000000,4,2,2,2,1,20025740,5,1,3,2011
2000000,3,1,2,2,1,68017504,5,1,3,2011
1200000,3,1,2,3,1,77793088,6,4,1,2011
1650000,3,1,2,2,1,41076740,3,1,3,2011
950000,2,2,2,3,2,20025740,5,1,1,2011
630000,2,1,2,3,1,55384448,6,1,3,2011
9999999,3,1,2,1,1,16309136,10,3,1,2011
1500000,1,0,2,3,1,20209968,1,1,1,2011
5162488,2,2,2,3,1,21201052,6,1,3,2011
275000,1,0,2,3,1,34605060,6,1,1,2011
5162488,6,2,2,3,1,88953624,5,1,3,2011
2000000,3,3,2,3,1,15189042,6,1,3,2011
5162488,4,3,2,3,1,37050020,5,1,3,2011
5162488,3,1,2,2,1,34871672,4,1,3,2011
1000000,3,1,2,3,1,30378084,6,1,1,2011
475000,3,0,2,2,1,37657464,1,1,3,2011
2500000,3,1,2,3,1,20025740,5,1,1,2011
1700000,5,1,2,3,1,106069872,6,4,1,2011
500000,2,1,2,3,1,22620252,3,1,1,2011
40000,5,2,2,3,1,34871672,4,1,1,2011
700000,2,1,2,3,1,15189042,6,1,3,2011
1000000,3,1,2,3,1,17290180,2,1,1,2011
1600000,3,2,2,2,1,72406184,3,1,3,2011
13000,2,1,2,3,1,20538370,3,1,3,2011
420000,2,1,2,3,2,37050020,5,4,1,2011
350000,1,1,2,3,1,15189042,6,1,1,2011
650000,2,1,2,3,1,21861640,4,4,3,2011
1500000,3,1,2,3,1,37445024,5,1,3,2011
700000,2,1,2,2,1,15189042,6,1,1,2011
425000,1,0,2,3,1,21861640,4,1,1,2011
800000,3,0,2,2,1,21861640,4,1,3,2011
69000,2,1,2,2,1,20209968,1,1,3,2011
1000000,2,1,2,3,2,22893532,5,1,3,2011
250000,1,1,2,3,1,41021792,4,1,3,2011
2500000,4,0,2,2,1,34580360,2,3,3,2011
950000,4,2,2,3,1,54145560,7,1,1,2011
25000,2,1,2,3,1,27914824,9,2,3,2011
1300000,2,1,2,2,1,49055020,1,1,1,2011
9999999,4,1,2,1,1,78994368,10,3,3,2011
750000,3,2,2,3,1,38209704,7,1,3,2011
800000,2,1,2,2,1,49055020,1,1,1,2011
750000,2,1,2,3,1,15189042,6,1,3,2011
550000,1,0,2,3,1,42472088,4,1,3,2011
1000000,2,1,8,2,1,22620252,3,1,1,2011
450000,2,1,2,3,1,18825748,1,1,1,2011
450000,2,1,2,3,1,34605060,6,3,1,2011
600000,3,0,2,3,1,36513460,5,1,3,2011
9999999,3,1,2,1,1,633907,8,2,1,2011
1000000,3,1,2,3,1,102304248,6,1,3,2011
440000,1,0,2,3,1,20025740,5,1,1,2011
650000,2,1,2,3,1,34871672,4,1,1,2011
275000,4,2,2,2,1,50917324,6,1,3,2011
700000,2,1,2,3,1,21861640,4,1,1,2011
5162488,3,2,2,2,1,34605060,6,1,3,2011
1600000,3,1,2,2,1,75131696,3,1,1,2011
1000000,3,2,2,2,1,34605060,6,1,1,2011
700000,2,1,2,3,1,34605060,6,1,1,2011
1850000,3,2,2,3,1,34605060,6,1,3,2011
300000,2,0,2,3,1,33614796,6,1,3,2011
700000,4,1,2,3,1,18399536,8,1,1,2011
800000,3,1,2,3,1,89722816,4,1,3,2011
650000,3,1,2,3,1,49055020,1,4,3,2011
1000000,3,2,2,3,1,15189042,6,1,3,2011
76000,3,1,2,3,2,67413792,7,2,3,2011
1000000,3,2,2,3,1,34871672,4,1,3,2011
9999999,4,1,2,1,2,1508985,8,4,1,2011
9956,2,1,2,3,1,47950088,9,3,1,2011
750000,1,0,2,3,1,37434588,6,3,3,2011
9999999,3,1,2,2,1,62047536,10,3,1,2011
1040000,3,1,2,3,1,74041792,6,1,1,2011
440000,3,1,2,3,1,37050020,5,1,3,2011
750000,2,1,2,3,1,34605060,6,1,3,2011
300000,2,2,2,3,2,18256208,7,1,1,2011
1000000,2,1,2,3,1,54877180,2,4,3,2011
350000,2,0,2,3,1,34680884,4,3,3,2011
1500000,3,2,2,2,1,19079532,4,1,1,2011
800000,2,0,2,3,1,22620252,3,3,1,2011
800000,3,1,2,3,1,21861640,4,1,1,2011
1100000,3,1,2,3,1,34605060,6,1,3,2011
9956,3,1,2,3,1,54540340,9,4,3,2011
5162488,3,0,2,2,1,20025740,5,1,3,2011
9956,3,1,2,3,1,84794272,9,4,3,2011
765000,2,0,2,2,1,18722512,4,1,1,2011
700000,2,1,2,3,1,22620252,3,3,3,2011
860000,3,0,2,3,1,17340440,4,4,3,2011
615000,1,0,2,2,1,21861640,4,3,3,2011
750000,3,2,2,3,1,34605060,6,1,1,2011
5162488,3,1,2,2,1,34057632,5,1,1,2011
19000,4,1,2,3,1,78024744,10,3,3,2011
1000000,2,1,2,3,1,20209968,1,1,3,2011
300000,2,1,3,3,2,30378084,6,1,1,2011
2500000,5,3,2,3,1,103454056,6,1,1,2011
500000,1,0,2,3,1,20209968,1,4,3,2011
1500000,2,2,2,3,1,43723280,4,1,3,2011
5162488,6,2,2,3,1,75445224,6,1,3,2011
1000000,3,1,2,3,1,71726648,3,1,3,2011
36000,2,0,2,3,2,16991848,3,3,1,2011
450000,2,1,2,3,1,22620252,3,1,1,2011
300000,2,1,2,3,1,99687296,3,1,3,2011
1000000,4,1,2,3,1,71674200,2,4,1,2011
450000,2,1,2,3,1,20025740,5,4,1,2011
1250000,3,1,2,3,1,37657464,1,1,3,2011
500000,2,1,2,3,1,37050020,5,1,1,2011
1000000,2,1,2,3,1,37050020,5,1,1,2011
500000,2,1,2,3,1,15189042,6,1,3,2011
2000000,1,0,2,3,1,49055020,1,3,1,2011
25000,2,1,2,3,1,18141284,9,2,3,2011
650000,2,0,2,2,1,20025740,5,1,1,2011
1000000,2,0,3,3,2,15189042,6,1,3,2011
5162488,4,2,2,3,1,45787064,5,1,1,2011
407000,2,1,2,3,1,20025740,5,1,1,2011
950000,3,2,2,3,1,84778376,4,1,1,2011
600000,2,1,2,3,1,15189042,6,1,3,2011
9999999,3,0,2,3,1,19079532,4,1,3,2011
1100000,3,1,2,2,1,20753122,5,1,3,2011
2500000,3,2,2,3,1,21861640,4,1,3,2011
500000,4,1,2,3,1,44021264,10,1,1,2011
1200000,3,1,2,1,2,18399536,8,2,3,2011
5162488,5,2,2,3,1,49055020,1,4,1,2011
1000000,3,2,2,3,2,37445024,4,1,1,2011
2000000,3,0,2,3,1,40419936,1,1,3,2011
1000000,3,2,2,3,1,15189042,6,1,1,2011
390000,2,0,2,3,2,41076740,3,1,1,2011
600000,1,0,2,3,1,34871672,4,1,3,2011
9999999,4,1,2,2,1,155556912,10,3,1,2011
550000,2,1,2,2,1,15189042,6,4,1,2011
600000,2,1,2,3,1,18722512,4,1,1,2011
755000,2,1,2,3,1,20209968,1,2,1,2011
400000,4,1,2,3,1,36312932,7,2,3,2011
25000,3,1,2,3,1,42365788,3,1,3,2011
860000,3,1,2,3,1,36208420,4,1,3,2011
1600000,3,0,2,3,1,33921104,4,1,3,2011
500000,3,1,2,3,1,18736204,2,1,1,2011
1850000,4,2,2,3,1,15189042,6,1,3,2011
1000000,1,0,2,2,2,15189042,6,4,3,2011
1200000,2,1,2,2,1,22620252,3,1,3,2011
700000,2,1,2,3,1,15189042,6,1,3,2011
550000,2,1,2,2,1,34871672,4,4,3,2011
330000,2,1,2,3,2,22620252,3,1,1,2011
1400000,3,0,2,2,1,44021264,2,1,3,2011
400000,2,1,2,3,1,15189042,6,1,1,2011
235000,1,0,2,3,1,15189042,6,1,1,2011
2000000,4,1,2,1,2,66166928,4,1,1,2011
300000,2,1,2,3,1,26173832,10,1,1,2011
700000,2,1,2,3,1,15189042,6,1,3,2011
1000000,5,1,2,3,1,45787064,5,1,3,2011
800000,2,1,2,3,1,15189042,6,1,3,2011
900000,3,1,2,3,1,18156604,9,1,1,2011
1000000,3,0,2,3,1,46974720,3,1,3,2011
9999999,2,0,2,1,1,67143616,10,1,3,2011
5162488,4,4,2,3,1,107942024,6,1,1,2011
9999999,1,0,2,1,1,16991848,3,3,3,2011
600000,1,0,2,3,1,17340440,4,3,3,2011
225000,4,1,2,3,2,86628160,7,3,1,2011
1600000,4,3,2,2,1,95511384,5,1,3,2011
525000,3,1,2,3,1,36799072,9,1,3,2011
1700000,4,2,2,3,1,32466948,6,1,1,2011
450000,2,0,2,3,1,64951720,4,1,1,2011
1000000,3,2,2,3,1,63368396,6,1,1,2011
500000,2,1,2,3,1,15189042,6,1,3,2011
5162488,2,1,2,2,1,15189042,6,1,3,2011
1000000,5,3,2,2,1,135870816,3,1,3,2011
700000,1,0,2,2,1,18576600,3,1,3,2011
1900000,2,1,2,2,1,24527510,1,1,1,2011
1000000,2,2,2,3,1,34605060,6,1,3,2011
800000,4,1,2,2,1,36136340,8,1,3,2011
600000,4,2,2,3,1,72134304,10,1,1,2011
1800000,4,2,2,3,1,79455096,6,1,1,2011
5162488,3,2,2,3,1,42402104,6,1,1,2011
450000,2,1,2,3,1,18825748,1,1,3,2011
965000,4,1,2,3,1,51369744,7,1,1,2011
800000,3,1,2,1,2,18399536,8,2,1,2011
625000,2,1,2,3,1,37506488,5,1,3,2011
240000,3,1,2,3,1,18156604,8,2,1,2011
1000000,2,1,2,3,1,37050020,5,1,3,2011
830000,3,1,2,3,1,15189042,6,1,3,2011
500000,2,1,2,3,1,15189042,6,1,3,2011
1100000,3,2,2,2,1,34605060,6,1,1,2011
1000000,3,3,2,3,1,34605060,6,1,3,2011
500000,3,2,2,2,1,41506244,5,4,3,2011
5162488,5,3,2,3,1,102304248,6,1,3,2011
25000,2,1,2,3,1,18156604,8,2,3,2011
30000,3,1,2,3,1,55474392,10,3,3,2011
600000,2,1,2,3,1,15189042,6,1,1,2011
1000000,4,3,2,3,1,34605060,6,1,3,2011
25000,3,1,2,3,1,55525364,8,2,1,2011
525000,2,1,2,3,1,15189042,6,1,1,2011
900000,3,1,2,3,1,18399536,9,1,3,2011
450000,3,1,2,2,1,37050020,5,1,3,2011
365000,2,1,2,2,1,16552704,6,1,3,2011
1100000,3,1,2,3,1,34605060,6,1,1,2011
1400000,3,2,2,3,1,34605060,6,1,1,2011
1100000,5,2,2,3,1,65973824,7,1,1,2011
525000,3,1,2,3,1,23928796,9,1,3,2011
700000,2,0,2,3,1,38209704,7,2,3,2011
1000000,3,0,2,3,1,37445024,3,1,3,2011
700000,2,1,2,3,1,15189042,6,1,3,2011
1200000,4,1,2,1,2,38074444,8,4,3,2011
460000,2,1,2,3,1,21861640,4,2,1,2011
10000,3,1,2,3,1,32191152,4,1,3,2011
550000,3,1,2,3,1,54665684,7,1,1,2011
25000,3,1,2,3,1,101499520,8,4,3,2011
650000,2,2,2,3,1,34871672,4,1,1,2011
1300000,2,1,3,3,2,15189042,6,1,3,2011
25000,4,1,2,3,1,86442136,4,1,1,2011
750000,3,1,2,3,1,28056678,6,1,1,2011
550000,3,1,2,3,1,44021264,10,1,1,2011
900000,2,1,2,3,1,34605060,6,4,1,2011
14000,4,1,2,3,1,80213208,1,1,3,2011
700000,2,1,2,3,1,37445024,6,1,3,2011
1000000,2,1,2,3,1,26173832,2,1,3,2011
400000,1,0,2,3,1,15189042,6,4,1,2011
1300000,3,1,2,3,1,49043484,6,1,3,2011
25000,3,1,2,3,1,31520454,8,2,1,2011
450000,2,1,2,3,2,20025740,5,1,1,2011
1100000,3,2,2,3,1,15189042,6,1,1,2011
500000,2,0,2,3,1,22620252,3,1,1,2011
500000,5,3,2,2,1,60071584,5,1,3,2011
429000,1,1,2,3,1,52347664,2,1,3,2011
9999999,4,1,2,1,2,23975044,8,1,3,2011
1250000,2,0,2,2,1,56113356,5,4,3,2011
9999999,3,1,2,1,2,18462144,8,2,1,2011
5162488,3,2,2,3,1,20025740,5,1,3,2011
750000,3,2,2,3,1,45787064,5,1,3,2011
950000,2,1,2,2,1,94902176,5,4,1,2011
25000,3,1,2,3,1,27778864,9,2,3,2011
1600000,4,1,2,2,1,87354432,5,1,3,2011
1000000,3,1,2,1,2,34069556,8,1,1,2011
1500000,3,1,2,2,1,25288048,1,4,3,2011
2000,3,2,2,3,1,17599688,8,2,1,2011
400000,2,0,2,3,1,18722512,3,1,1,2011
498000,2,0,2,3,1,78245400,9,3,1,2014
850000,2,1,2,3,1,15414645,6,1,3,2014
1100000,2,2,2,2,1,23270772,1,3,1,2014
600000,1,0,2,3,1,20064316,3,1,3,2014
740000,2,1,2,3,1,15219523,6,1,3,2014
700000,2,1,2,2,1,36776748,5,1,3,2014
2449,2,1,2,3,1,31011204,1,4,3,2014
600000,2,1,2,2,1,21249552,6,4,1,2014
3400000,4,2,2,3,1,64701752,5,1,3,2014
700000,3,2,2,2,1,84384296,1,1,3,2014
160000,3,2,2,3,1,34309168,4,1,1,2014
750000,2,2,2,3,1,19538096,5,1,1,2014
600000,3,1,2,2,1,49748840,2,4,3,2014
400000,1,0,2,3,1,42623896,6,1,3,2014
800000,2,1,2,3,1,24736572,4,1,1,2014
850000,2,1,2,3,1,15219523,6,1,3,2014
5851008,5,3,2,3,1,45084720,6,1,3,2014
550000,2,0,2,3,1,51024576,4,1,1,2014
850000,2,1,2,2,1,46119032,4,4,1,2014
200000,2,0,2,3,2,19212896,3,3,3,2014
1000000,2,1,2,3,1,23270772,1,1,1,2014
1375000,3,1,2,3,1,20484408,4,1,1,2014
800000,2,1,2,2,1,34309168,4,1,3,2014
5851008,5,1,2,1,2,70107176,6,1,3,2014
1000000,2,1,2,3,1,20484408,4,1,1,2014
675000,1,0,8,2,1,20538744,4,1,3,2014
1300000,3,1,2,3,1,19095632,5,1,3,2014
1500000,3,2,2,2,1,35322096,6,1,3,2014
9999999,2,1,2,1,2,553234,8,2,3,2014
1700000,3,1,2,3,1,39377776,3,1,1,2014
1500000,3,1,2,3,1,15219523,6,1,3,2014
1400000,3,1,2,3,1,34309168,4,1,1,2014
725000,2,0,2,3,1,24736572,4,1,1,2014
500000,1,1,2,3,1,40128632,5,1,1,2014
590000,2,2,2,3,1,22331244,5,4,1,2014
800000,2,1,2,3,1,36631912,6,1,3,2014
500000,2,1,2,2,1,15219523,6,1,1,2014
500000,3,1,2,3,1,49395000,2,2,1,2014
20000,3,1,2,3,1,15219523,6,2,1,2014
1700000,3,0,2,2,1,42504872,3,1,3,2014
650000,3,1,2,3,1,35322096,6,1,1,2014
600000,2,0,2,3,1,18024800,4,1,3,2014
500000,2,0,2,3,1,43883472,5,1,1,2014
1000000,5,1,2,3,1,15219523,6,1,1,2014
6000,4,1,2,3,1,83508456,2,3,3,2014
850000,3,1,2,3,1,35621404,3,1,3,2014
1500000,2,1,2,2,1,46215576,3,4,3,2014
750000,5,2,2,1,2,97695784,7,4,1,2014
1000000,2,0,2,3,1,91175512,6,4,3,2014
200000,5,1,2,3,1,38253852,8,2,3,2014
75000,3,1,2,3,1,53809000,3,2,1,2014
5851008,4,1,2,3,1,96245688,9,1,3,2014
750000,2,0,2,3,1,17661048,6,1,1,2014
20000,2,1,2,3,1,15219523,6,1,1,2014
72000,3,1,2,3,1,46917216,7,2,1,2014
600000,4,2,2,3,1,35322096,6,1,3,2014
1500000,3,1,2,3,1,84866584,1,1,1,2014
750000,2,1,2,3,2,15736706,6,1,1,2014
450000,2,0,2,3,1,48133884,3,1,1,2014
395000,4,1,2,3,2,134330000,5,3,1,2014
950000,2,1,2,3,1,34863368,6,1,3,2014
500000,2,1,2,3,1,36049600,4,3,3,2014
1000000,2,1,2,3,1,17536378,4,4,1,2014
550000,2,1,2,3,1,42504872,3,1,1,2014
800000,3,2,2,2,1,142479472,5,3,3,2014
425000,1,0,2,3,1,24736572,4,1,3,2014
825000,3,1,2,3,1,27072108,1,1,3,2014
800000,2,1,2,2,1,21941736,5,4,3,2014
50000,3,1,2,3,1,42025660,10,3,3,2014
1175000,3,1,2,2,1,32759344,6,4,1,2014
9999999,2,1,2,3,1,35322096,6,1,1,2014
500000,2,1,2,2,1,15219523,6,1,1,2014
700000,2,1,2,3,1,22653662,3,1,1,2014
35000,4,1,2,3,1,86999800,10,3,1,2014
2500000,3,1,2,3,1,57536908,1,1,1,2014
18000,3,1,2,3,1,29265594,1,1,3,2014
1600000,4,2,2,3,1,38650268,4,1,3,2014
750000,2,0,2,3,1,46545608,1,1,1,2014
3000000,4,2,2,3,1,23270772,1,1,1,2014
560000,2,2,2,3,2,35542048,7,1,1,2014
